well_id,sno,state,district,block,location,longitude,latitude,year,ph,ec,co3,hco3,cl,so4,no3,po4,th,ca,mg,na,k,f,sio2,tds
W192345074491501,18,Maharashtra,Ahmednagar,NEVASA,Sonai,74.82083333,19.39583333,2022,7.89,675.0,0,286.8,42.5,30.9,9.7,,245.0,50.1,29.2,36.6,1.1,0.29,,
W193300075064501,19,Maharashtra,Ahmednagar,NEVASA,Shirasgaon,75.10138889,19.55,2022,7.99,924.2,0,244.1,109.9,105.6,8.6,,280.0,60.1,31.6,79.4,4.0,0.26,,
W184400075190001,20,Maharashtra,Ahmednagar,JAMKHED,Jamkhed,75.31666667,18.73333333,2022,7.96,2296.0,0,622.4,315.5,160.1,46.2,,860.0,136.3,126.4,116.5,8.2,0.49,,
W192900074120001,21,Maharashtra,Ahmednagar,SANGAMNER,Chandanapuri,74.2,19.48333333,2022,7.77,1049.0,0,274.6,127.6,54.0,67.0,,335.0,64.1,42.5,77.9,1.1,0.31,,
W183840074534801,22,Maharashtra,Ahmednagar,KARJAT,Bhitkewadi,74.89666667,18.64444444,2022,7.78,706.8,0,231.9,60.3,45.6,68.4,,240.0,50.1,27.9,57.6,0.7,0.47,,
W183800075060001,23,Maharashtra,Ahmednagar,KARJAT,Pategaon,75.1,18.63333333,2022,7.63,1438.0,0,366.1,216.2,95.4,18.2,,345.0,40.1,59.5,149.4,25.4,0.59,,
W183100074590001,24,Maharashtra,Ahmednagar,KARJAT,Kolwadi,74.98333333,18.51666667,2022,7.97,2742.0,0,695.6,475.0,78.8,65.0,,465.0,80.2,64.4,315.7,126.3,0.23,,
W193100074151001,25,Maharashtra,Ahmednagar,SANGAMNER,Tambhol,74.25277778,19.51666667,2022,8.25,273.2,0,73.2,46.1,9.0,4.1,,125.0,26.1,14.6,6.0,0.6,0.1,,
W183700074370001,26,Maharashtra,Ahmednagar,SHRIGONDA,Vadegaon Madhe,74.61666667,18.61666667,2022,7.51,2068.0,0,207.5,354.5,299.0,60.1,,740.0,102.2,117.9,109.9,0.9,0.26,,
W190821074231401,27,Maharashtra,Ahmednagar,PARNER,Takli-Dhogeswar-1,74.38722222,19.13916667,2022,8.03,757.1,0,366.1,42.5,20.5,4.5,,225.0,40.1,30.4,67.2,1.8,0.75,,
W192505075051501,28,Maharashtra,Ahmednagar,NEVASA,Kokona-1,75.0875,19.41805556,2022,7.53,1965.0,0,299.0,301.3,159.6,195.3,,760.0,146.3,96.0,89.0,0.9,0.39,,
W190005074550002,29,Maharashtra,Ahmednagar,NAGAR,Chichondi Patil,74.91666667,19.00138889,2022,7.77,1298.0,0,280.7,187.9,119.8,20.0,,405.0,70.1,55.9,96.1,1.8,0.37,,
W192119074522401,30,Maharashtra,Ahmednagar,NEVASA,Ghodegaon-1,74.87333333,19.35527778,2022,8.18,838.8,0,305.1,60.3,74.6,7.2,,225.0,40.1,30.4,85.6,0.8,0.44,,
W193531074285501,31,Maharashtra,Ahmednagar,KOPARGAON,Loni-Pravara Nagar,74.48194444,19.59194444,2022,7.83,1386.0,0,353.9,195.0,109.0,35.3,,460.0,82.2,62.0,98.9,0.6,0.35,,
W191617074510701,32,Maharashtra,Ahmednagar,NAGAR,Khosepuri-1,74.85194444,19.27138889,2022,7.88,992.1,0,451.5,60.3,44.7,16.1,,330.0,56.1,46.2,74.8,2.6,0.63,,
W184226075175001,33,Maharashtra,Ahmednagar,JAMKHED,Jamkhed-1,75.29722222,18.70722222,2022,7.56,1270.0,0,256.3,173.7,157.8,23.0,,460.0,60.1,75.3,69.6,1.2,0.45,,
W193657074443601,34,Maharashtra,Ahmednagar,SHRIRAMPUR,Khokar,74.74333333,19.61583333,2022,7.59,1785.0,0,244.1,315.5,200.2,58.4,,640.0,132.3,75.3,102.3,3.1,0.25,,
W193546074483901,35,Maharashtra,Ahmednagar,SHRIRAMPUR,Taklibhan-1,75.37305556,19.98638889,2022,7.84,619.6,0,238.0,42.5,36.1,23.5,,235.0,48.1,27.9,35.2,0.5,0.13,,
W193330074551601,36,Maharashtra,Ahmednagar,NEVASA,Nevasa Bk,74.95444444,19.52666667,2022,7.64,2248.0,0,414.9,312.0,160.1,200.1,,750.0,132.3,102.1,170.5,3.2,0.31,,
W192922074580201,37,Maharashtra,Ahmednagar,NEVASA,Bhanas Hivre,74.96722222,19.48944444,2022,7.85,825.5,0,305.1,81.5,47.3,11.9,,300.0,60.1,36.5,54.1,1.0,2.08,,
W192255074515101,38,Maharashtra,Ahmednagar,NEVASA,Shani Shingnapur,74.95444444,19.52666667,2022,8.2,2779.0,0,805.5,205.6,390.6,20.0,,215.0,40.1,27.9,542.9,7.4,0.72,,
W190756074590501,39,Maharashtra,Ahmednagar,NAGAR,Karanji,74.98472222,19.13222222,2022,7.9,821.5,0,280.7,67.4,42.2,65.4,,290.0,46.1,42.5,58.9,0.9,0.83,,
W191246074481101,40,Maharashtra,Ahmednagar,NAGAR,Jeur,74.80305556,19.21277778,2022,8.1,1546.0,0,299.0,156.0,158.9,200.5,,285.0,54.1,36.5,178.8,77.9,0.84,,
W193644073435601,41,Maharashtra,Ahmednagar,AKOLA,Kalsubai,73.73222222,19.61222222,2022,7.49,355.5,0,140.3,24.8,16.6,14.8,,150.0,40.1,12.2,11.4,1.3,0.16,,
W193212073461001,42,Maharashtra,Ahmednagar,AKOLA,Bhandardara,73.76944444,19.53666667,2022,7.71,227.2,0,91.5,17.7,11.8,2.9,,95.0,26.1,7.3,6.3,2.2,0.1,,
W185000074520001,43,Maharashtra,Ahmednagar,SHRIGONDA,Banpimpri,74.86666667,18.83333333,2022,7.5,3248.0,0,518.7,506.9,395.2,79.8,,700.0,104.2,106.9,401.9,62.8,0.77,,
W183700074430001,44,Maharashtra,Ahmednagar,SHRIGONDA,Shrigonda,74.71666667,18.61666667,2022,7.8,1933.0,0,506.5,280.1,152.4,20.5,,750.0,180.4,72.9,96.2,5.0,0.4,,
W182600074560001,45,Maharashtra,Ahmednagar,KARJAT,Rassin,74.93333333,18.43333333,2022,7.6,1186.0,0,311.2,138.3,125.6,13.8,,385.0,52.1,62.0,81.6,21.8,0.3,,
W190000074380001,46,Maharashtra,Ahmednagar,NAGAR,Chas,74.63333333,19.0,2022,7.91,980.2,0,366.1,102.8,42.4,16.4,,315.0,64.1,37.7,80.1,7.5,0.46,,
W183800074530001,47,Maharashtra,Ahmednagar,KARJAT,Walvad,74.88333333,18.63333333,2022,7.93,884.2,0,311.2,74.4,53.2,34.7,,215.0,40.1,27.9,103.1,0.6,1.18,,
W185200074430001,48,Maharashtra,Ahmednagar,SHRIGONDA,Chikhale,74.71666667,18.86666667,2022,7.32,5627.0,0,567.5,1219.5,390.3,200.3,,2000.0,621.2,109.4,301.0,184.5,0.24,,
W190200074500001,49,Maharashtra,Ahmednagar,NAGAR,Takle-Kazi,74.83333333,19.03333333,2022,7.5,1238.0,0,250.2,152.4,79.4,156.9,,475.0,90.2,60.8,61.3,2.4,0.26,,
W184320075130001,50,Maharashtra,Ahmednagar,KARJAT,Mirajgaon-3,75.21666667,18.72222222,2022,7.59,1696.0,0,274.6,269.4,160.1,73.2,,440.0,84.2,55.9,185.7,2.6,0.49,,
W184843074534601,51,Maharashtra,Ahmednagar,SHRIGONDA,Ghogargaon-1,74.89611111,18.81194444,2022,7.48,2046.0,0,360.0,382.9,158.1,10.2,,515.0,80.2,76.5,232.2,8.5,0.57,,
W184029075105301,52,Maharashtra,Ahmednagar,JAMKHED,Arangaon-3,75.18138889,18.67472222,2022,7.85,1215.0,0,280.7,191.4,89.2,40.7,,345.0,60.1,47.4,120.9,3.9,0.64,,
W182730074492401,53,Maharashtra,Ahmednagar,KARJAT,Baradgaon Sudrik,74.82333333,18.45833333,2022,7.82,1595.0,0,396.6,226.9,126.6,22.6,,265.0,50.1,34.0,225.2,15.6,0.67,,
W182710074445801,54,Maharashtra,Ahmednagar,KARJAT,Wadarwadi,74.74944444,18.45277778,2022,7.53,1642.0,0,207.5,216.2,300.4,39.8,,535.0,120.2,57.1,119.8,0.7,0.38,,
W185852074422301,55,Maharashtra,Ahmednagar,NAGAR,Khadki,74.64833333,19.01805556,2022,8.07,620.2,0,140.3,63.8,68.3,49.0,,235.0,40.1,32.8,38.3,1.4,0.39,,
W184510074382301,56,Maharashtra,Ahmednagar,SHRIGONDA,Ghargaon,74.64833333,19.01805556,2022,7.77,972.8,0,384.4,74.4,58.8,27.7,,265.0,50.1,34.0,101.3,0.6,0.82,,
W190438074392201,57,Maharashtra,Ahmednagar,NAGAR,Hivrebazar,74.65611111,19.07722222,2022,7.73,637.7,0,183.1,53.2,41.5,60.2,,215.0,58.1,17.0,48.3,0.4,0.7,,
W185458074243601,58,Maharashtra,Ahmednagar,PARNER,Ralegaon Siddhi,74.41,18.91611111,2022,7.97,1051.0,0,256.3,180.8,49.0,17.4,,315.0,60.1,40.1,90.2,10.2,0.33,,
W192531073582301,59,Maharashtra,Ahmednagar,AKOLA,Kotul,73.97305556,19.42527778,2022,7.73,695.1,0,262.4,46.1,31.6,48.8,,300.0,60.1,36.5,21.3,0.3,0.31,,
W190131074430501,60,Maharashtra,Ahmednagar,NAGAR,Arangaon-1,74.71805556,19.02527778,2022,7.94,664.5,0,195.3,85.1,42.3,10.6,,205.0,26.1,34.0,53.0,2.0,0.37,,
W183633074581801,61,Maharashtra,Ahmednagar,KARJAT,Rehekuri,,,2022,7.92,665.1,0,195.3,70.9,48.5,39.7,,190.0,38.1,23.1,65.4,0.8,0.7,,
W192311075101301,62,Maharashtra,Ahmednagar,SHEVGAON,Khamgaon,,,2022,7.48,2921.0,0,854.3,329.7,78.7,80.2,,1080.0,226.5,125.1,167.1,2.5,0.44,,
W195356074221101,63,Maharashtra,Ahmednagar,KOPARGAON,Kolpewadi-1,,,2022,7.72,2092.0,0,488.2,358.0,85.4,57.1,,570.0,40.1,114.2,218.7,1.7,0.27,,
W203250077152001,64,Maharashtra,Akola,Barshitakli,Pinjar,77.25555556,20.54722222,2022,7.63,961.8,0,494.3,88.6,58.4,5.1,,355.0,84.2,35.2,87.2,3.0,1.2,,
W204030076531501,65,Maharashtra,Akola,Balapur,Wyala,76.8875,20.675,2022,7.55,5119.0,0,622.4,872.1,552.3,304.4,,1810.0,312.6,250.3,332.6,39.2,0.59,,
W202740076463001,66,Maharashtra,Akola,Patur,Chani,76.775,20.46111111,2022,7.63,1134.0,0,524.8,102.8,47.8,76.7,,485.0,84.2,66.8,66.2,1.8,0.73,,
W203029076495901,67,Maharashtra,Akola,Patur,Sasti,76.83305556,20.50805556,2022,7.61,1516.0,0,518.7,148.9,61.5,100.2,,510.0,102.2,62.0,105.4,9.1,0.86,,
W203524076551901,68,Maharashtra,Akola,Balapur,Majhari,76.92194444,20.59,2022,7.32,1057.0,0,439.3,85.1,35.4,101.4,,390.0,100.2,34.0,69.8,5.9,0.72,,
W204400077220001,69,Maharashtra,Akola,Murtijapur,Murtizapur,77.36666667,20.73333333,2022,7.5,1126.0,0,555.3,117.0,63.7,11.6,,570.0,158.3,42.5,38.6,4.0,0.73,,
W202700076560001,70,Maharashtra,Akola,Patur,Patur,76.93333333,20.45,2022,7.24,789.9,0,396.6,31.9,17.6,21.3,,320.0,62.1,40.1,32.1,1.7,0.66,,
W205910077011501,71,Maharashtra,Akola,Akot,Patsul,77.01805556,20.98611111,2022,7.83,1993.0,0,884.8,145.3,124.9,58.1,,360.0,38.1,64.4,304.7,5.5,0.91,,
W203530076520001,72,Maharashtra,Akola,Balapur,Wadegaon,77.0675,20.46861111,2022,7.56,3403.0,0,628.5,542.4,299.4,204.2,,1070.0,126.3,183.5,309.2,9.4,0.74,,
W203500077040001,73,Maharashtra,Akola,Barshitakli,Barshi Takli,77.06666667,20.58333333,2022,7.59,1268.0,0,537.0,106.4,54.9,7.1,,520.0,116.2,55.9,49.8,9.8,0.75,,
W204412077002601,74,Maharashtra,Akola,Akola,Akola,77.00166667,20.73666667,2022,7.66,7899.0,0,579.7,1524.4,1155.0,105.0,,2005.0,250.5,335.3,892.4,2.9,0.79,,
W204825076493001,75,Maharashtra,Akola,Balapur,Ural,76.825,20.80694444,2022,7.74,1455.0,0,561.4,124.1,121.5,52.5,,505.0,112.2,54.7,102.4,8.5,0.78,,
W211230077044502,76,Maharashtra,Akola,Akot,Popetkheda,77.07916667,21.20833333,2022,7.81,701.2,0,384.4,21.3,18.1,3.1,,270.0,70.1,23.1,42.2,2.7,0.79,,
W205300076511002,77,Maharashtra,Akola,Balapur,Andura1,76.85277778,20.88333333,2022,7.83,5203.0,0,732.2,935.9,820.4,20.0,,870.0,198.4,91.1,776.1,23.1,0.69,,
W202943077093701,78,Maharashtra,Akola,Barshitakli,Mahan-1,77.15194444,20.49527778,2022,7.79,781.1,0,335.6,35.5,29.3,25.2,,285.0,78.2,21.9,34.0,1.2,0.7,,
W210838077081101,79,Maharashtra,Akola,AKOT,Panaj,77.13638889,21.14388889,2022,7.64,2305.0,0,518.7,244.6,71.4,309.6,,775.0,124.2,113.0,118.2,9.9,0.45,,
W203338077104201,80,Maharashtra,Akola,BARSHITAKLI,Donad,77.17833333,20.56055556,2022,7.81,1243.0,0,524.8,63.8,23.4,96.6,,470.0,58.1,79.0,69.8,0.8,0.63,,
W203023077121601,81,Maharashtra,Akola,BARSHITAKLI,Hatola,77.20444444,20.50638889,2022,7.6,744.4,0,292.9,56.7,35.0,66.8,,315.0,86.2,24.3,28.1,3.1,0.54,,
W202724076513301,82,Maharashtra,Akola,Patur,Ambashi,76.85916667,20.45666667,2022,7.73,749.1,0,366.1,42.5,28.1,53.0,,300.0,84.2,21.9,44.1,0.5,0.82,,
W202435076511201,83,Maharashtra,Akola,Patur,Alegaon,76.85333333,20.40972222,2022,7.68,591.0,0,335.6,21.3,13.6,5.0,,260.0,80.2,14.6,18.8,0.4,0.62,,
W204400077460002,84,Maharashtra,Amravati,NANDGAON KHANDESH,Mahuli,77.76666667,20.73333333,2022,7.63,1057.0,0,305.1,120.5,63.9,46.9,,350.0,100.2,24.3,73.7,6.7,0.42,,
W212100078010001,85,Maharashtra,Amravati,MORSHI,Warud,78.26666667,21.46666667,2022,7.62,1183.0,0,396.6,85.1,71.1,46.7,,450.0,112.2,41.3,58.9,0.4,0.43,,
W212800078160002,86,Maharashtra,Amravati,WARUD,Sendurjana,78.1,20.68333333,2022,7.63,826.3,0,329.5,49.6,35.7,45.1,,325.0,78.2,31.6,40.5,1.9,0.5,,
W205310077523002,87,Maharashtra,Amravati,AMRAVATI,Pohra,77.875,20.88611111,2022,7.57,807.8,0,402.7,17.7,23.9,23.5,,350.0,76.2,38.9,25.5,0.8,0.35,,
W205600078030001,88,Maharashtra,Amravati,TEOSA,Kurha,78.05,20.93333333,2022,7.71,836.0,0,256.3,81.5,46.1,45.9,,325.0,66.1,38.9,45.7,0.5,0.39,,
W204900077580001,89,Maharashtra,Amravati,CHANDUR RAILWAY,Chandur Railway,77.96666667,20.81666667,2022,7.78,1234.0,0,360.0,124.1,87.7,47.4,,425.0,50.1,72.9,84.3,10.0,0.44,,
W210510078040501,90,Maharashtra,Amravati,TEOSA,Teosa,78.06805556,21.08361111,2022,7.74,892.0,0,213.6,109.9,64.9,47.7,,325.0,78.2,31.6,59.4,1.5,0.18,,
W204100078092501,91,Maharashtra,Amravati,CHANDUR RAILWAY,Devgaon,78.15138889,20.68333333,2022,7.61,686.3,0,207.5,63.8,45.2,7.6,,255.0,52.1,30.4,32.7,0.9,0.36,,
W212136077564001,92,Maharashtra,Amravati,MORSHI,Chicholi,77.94444444,21.36,2022,7.68,1487.0,0,402.7,191.4,89.4,48.1,,520.0,120.2,53.5,98.5,13.3,0.53,,
W211855077571501,93,Maharashtra,Amravati,MORSHI,Khanapur,77.95416667,21.31527778,2022,7.82,1684.0,0,476.0,237.5,84.4,47.7,,425.0,110.2,36.5,147.2,66.2,0.37,,
W211830077553001,94,Maharashtra,Amravati,MORSHI,Ashtagaon,77.925,21.30833333,2022,7.76,1042.0,0,238.0,109.9,66.8,48.2,,350.0,100.2,24.3,51.8,10.8,0.53,,
W211955077520901,95,Maharashtra,Amravati,MORSHI,Saiwada,77.86916667,21.33194444,2022,7.78,1168.0,0,353.9,120.5,75.0,48.2,,460.0,110.2,45.0,61.8,2.9,0.51,,
W212140077520501,96,Maharashtra,Amravati,MORSHI,Pimpri,77.86805556,21.36111111,2022,7.8,658.8,0,225.8,49.6,47.5,9.1,,190.0,40.1,21.9,39.0,19.9,0.49,,
W212310078004001,97,Maharashtra,Amravati,MORSHI,Pala,78.0,21.38611111,2022,7.83,1249.0,0,305.1,170.2,59.9,47.6,,350.0,82.2,35.2,102.3,2.7,0.55,,
W212335078050201,98,Maharashtra,Amravati,MORSHI,Hiwarkheda,78.08388889,21.39305556,2022,7.8,1042.0,0,274.6,92.2,51.4,43.0,,360.0,78.2,40.1,49.8,1.7,0.35,,
W212235078112501,99,Maharashtra,Amravati,WARUD,Loni,78.19027778,21.37638889,2022,7.69,1570.0,0,506.5,187.9,76.8,48.3,,640.0,70.1,113.0,83.1,0.9,0.27,,
W205500078081501,100,Maharashtra,Amravati,TEOSA,Anjansingi,78.13472222,20.91666667,2022,7.78,1180.0,0,347.8,102.8,61.4,47.6,,250.0,60.1,24.3,87.4,90.2,0.22,,
W211940077405701,101,Maharashtra,Amravati,Chandur Bazar,Sirasgaon (Kasba),77.6825,21.32777778,2022,7.82,563.6,0,231.9,17.7,23.2,25.4,,220.0,50.1,23.1,22.7,0.9,0.2,,
W212300078033501,102,Maharashtra,Amravati,MORSHI,Dapori1,78.05138889,21.38333333,2022,7.77,1124.0,0,347.8,102.8,49.7,47.8,,370.0,80.2,41.3,80.0,1.4,0.48,,
W212950078142002,103,Maharashtra,Amravati,WARUD,Temburkheda1,78.23888889,21.49722222,2022,7.8,1297.0,0,372.2,131.2,80.5,46.7,,535.0,150.3,38.9,44.7,0.4,0.51,,
W203750077510801,104,Maharashtra,Amravati,NANDGAON KHANDESH,Shivni1,77.85222222,20.63055556,2022,7.83,1161.0,0,286.8,148.9,54.3,48.5,,250.0,52.1,29.2,68.9,96.0,0.3,,
W204518077553301,105,Maharashtra,Amravati,CHANDUR RAILWAY,Belteki,77.92583333,20.755,2022,7.88,854.0,0,366.1,39.0,33.3,47.6,,325.0,70.1,36.5,49.3,0.6,0.41,,
W212330078240501,106,Maharashtra,Amravati,WARUD,Amner_old,78.40138889,21.39166667,2022,8.0,1233.0,0,610.2,78.0,16.5,29.5,,445.0,100.2,47.4,83.5,1.4,0.27,,
W212614078204001,107,Maharashtra,Amravati,WARUD,Chandas,78.34444444,21.43722222,2022,7.73,2127.0,0,408.8,464.4,82.0,49.6,,840.0,140.3,119.1,91.4,1.5,0.33,,
W212518078061001,108,Maharashtra,Amravati,WARUD,Umerkhed,78.1,21.42166667,2022,7.93,819.0,0,311.2,53.2,44.2,32.7,,300.0,66.1,32.8,50.1,5.0,0.51,,
W212001077482901,109,Maharashtra,Amravati,CHANDURBAZAR,Ghatlarki,77.80805556,21.33361111,2022,7.8,809.0,0,207.5,109.9,37.7,47.9,,310.0,64.1,36.5,42.3,0.4,0.39,,
W203954077424501,110,Maharashtra,Amravati,NANDGAON KHANDESH,Wadala Fatehpur,77.7125,20.665,2022,7.55,766.3,0,122.0,156.0,50.6,24.9,,300.0,68.1,31.6,30.7,0.7,0.25,,
W210100077420001,111,Maharashtra,Amravati,Amravati,Walgaon,77.7,21.01666667,2022,8.13,2798.0,0,1055.6,290.7,50.1,46.6,,430.0,76.2,58.3,395.0,13.1,0.54,,
W211400077440001,112,Maharashtra,Amravati,Chandur Bazar,Chandur Bazar,77.73333333,21.23333333,2022,7.99,1208.0,0,549.2,85.1,42.3,29.6,,340.0,74.1,37.7,117.0,0.3,0.43,,
W212600077250001,113,Maharashtra,Amravati,Chikhaldara,Silona,77.41666667,21.43333333,2022,7.7,450.9,0,195.3,14.2,16.4,25.1,,200.0,44.1,21.9,12.3,0.5,0.34,,
W213400077250001,114,Maharashtra,Amravati,Chikhaldara,Chunkhedi,77.41666667,21.56666667,2022,7.6,417.6,0,195.3,14.2,6.6,2.3,,170.0,28.1,24.3,9.0,0.6,0.18,,
W211430077490001,115,Maharashtra,Amravati,Morshi,Rithpur,77.81666667,21.24166667,2022,7.67,1524.0,0,170.9,333.2,52.2,49.0,,400.0,90.2,42.5,134.6,3.0,0.67,,
W213050076465001,116,Maharashtra,Amravati,Dharni,Bhokarbardi,76.78055556,21.51388889,2022,7.9,947.0,0,427.1,31.9,22.7,39.1,,190.0,50.1,15.8,105.3,1.2,0.59,,
W213000077121501,117,Maharashtra,Amravati,Chikhaldara,Kolkaz,77.20416667,21.5,2022,7.62,405.0,0,183.1,21.3,9.8,1.6,,175.0,40.1,18.2,9.6,0.5,0.25,,
W213200077022001,118,Maharashtra,Amravati,Dharni,Lawada,77.03333333,21.53333333,2022,7.83,581.3,0,170.9,63.8,21.5,23.1,,250.0,52.1,29.2,12.7,0.5,0.22,,
W210300077184501,119,Maharashtra,Amravati,Anjangaon Surji,Nimbhari,77.3125,21.05,2022,8.14,2854.0,0,1080.1,276.5,45.6,49.6,,345.0,80.2,35.2,426.1,4.4,1.22,,
W211252077215401,120,Maharashtra,Amravati,ACHALPUR,Pathrot-2,77.365,21.21444444,2022,7.59,1020.0,0,183.1,198.5,48.0,49.6,,450.0,96.2,51.0,33.3,1.2,0.27,,
W205537077154701,121,Maharashtra,Amravati,DARYAPUR,Samda Kasmpur,77.26305556,20.92694444,2022,7.78,3034.0,0,213.6,779.9,41.4,49.0,,410.0,100.2,38.9,398.6,1.7,0.29,,
W211917077440801,122,Maharashtra,Amravati,CHANDURBAZAR,Brahmanwada (Thadi),77.73555556,21.32138889,2022,7.81,673.0,0,256.3,31.9,28.2,26.7,,225.0,30.1,36.5,37.8,1.2,0.26,,
W212016077341401,123,Maharashtra,Amravati,ACHALPUR,Kharapi,77.57055556,21.33777778,2022,7.73,647.0,0,262.4,31.9,28.1,40.8,,270.0,48.1,36.5,22.7,0.4,0.27,,
W205941077273101,124,Maharashtra,Amravati,DARYAPUR,Yevda,77.45861111,20.99472222,2022,7.92,6284.0,0,781.1,1559.8,47.2,49.8,,650.0,92.2,102.1,1155.1,5.6,0.2,,
W205429077422601,125,Maharashtra,Amravati,AMRAVATI,Lontek-1,77.70722222,20.90805556,2022,8.09,1363.0,0,506.5,102.8,55.8,49.0,,335.0,60.1,45.0,145.5,0.5,0.86,,
W210327078001401,126,Maharashtra,Amravati,TEOSA,Mozari,78.00111111,21.05055556,2022,7.76,827.0,0,256.3,102.8,40.0,48.9,,290.0,50.1,40.1,61.3,0.5,0.53,,
W205614077481501,127,Maharashtra,Amravati,AMRAVATI,Amravati_University,77.80416667,20.93722222,2022,7.97,616.0,0,262.4,21.3,20.8,3.0,,225.0,50.1,24.3,17.6,0.7,0.34,,
W212430077120601,128,Maharashtra,Amravati,Chikhaldara,karaigaon,77.20166667,21.40833333,2022,7.87,669.0,0,256.3,35.5,20.2,39.4,,250.0,40.1,36.5,26.4,0.3,0.27,,
W212413077194701,129,Maharashtra,Amravati,Chikhaldara,chikhaldara,77.32972222,21.40361111,2022,7.67,505.0,0,152.6,42.5,31.1,43.3,,210.0,48.1,21.9,12.3,0.3,0.18,,
W212116077262901,130,Maharashtra,Amravati,Achalpur,Dhamni,77.44138889,21.35444444,2022,7.75,500.0,0,213.6,21.3,28.9,15.0,,210.0,34.1,30.4,14.7,0.2,0.25,,
W213438077270001,131,Maharashtra,Amravati,Chikhaldara,Khandukheda,77.45,21.57722222,2022,7.81,381.0,0,213.6,3.5,10.9,1.9,,175.0,40.1,18.2,10.0,0.3,0.2,,
W205653077295501,132,Maharashtra,Amravati,,Shignapur,77.49784444,20.95166667,2022,8.23,1640.0,0,610.2,202.1,48.3,31.1,,425.0,100.2,42.5,178.9,1.1,0.37,,
W200730075280001,133,Maharashtra,Aurangabad,AURANGABAD,Patri,75.46666667,20.1175,2022,7.39,1510.0,0,335.6,216.2,85.1,81.6,,525.0,102.2,65.6,86.4,37.9,0.53,,
